property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,rof ananda,sector 95,0.38,5901,644,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,66,214.6666667
house,independent,sector 47,5.15,26615,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,East,Relatively New,,1935,,0,0,1,0,0,1,75,215
house,independent,sector 43,5.3,27390,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,East,Moderately Old,,1935,,0,1,0,0,0,1,71,215
flat,signature global solera,sector 107,0.5,7752,645,Carpet area: 645 (59.92 sq.m.),3,2,2,6,North-East,Relatively New,,,645,0,0,0,0,1,0,49,215
flat,signature global solera,sector 107,0.52,8062,645,Carpet area: 645 (59.92 sq.m.),3,2,2,5,East,Relatively New,,,645,0,0,0,0,1,0,15,215
house,dlf city plots phase 2,sector 25,6.5,33592,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,West,Old Property,,1935,,1,1,1,1,0,1,142,215
flat,signature global solera,sector 107,0.51,7907,645,Carpet area: 645 (59.92 sq.m.),3,2,2,9,South,Relatively New,,,645,0,0,0,0,1,0,15,215
flat,signature global solera,sector 107,0.5,7752,645,Carpet area: 645 (59.92 sq.m.),3,2,2,6,South-East,Relatively New,,,645,0,0,0,0,1,0,15,215
flat,rof ananda,sector 95,0.55,8527,645,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14,East,New Property,1000,,645,1,0,0,0,0,1,81,215
house,independent,sector 28,0.7,8102,864,Plot area 864(80.27 sq.m.),4,2,0,2,North,Old Property,,864,,0,0,0,0,0,0,7,216
house,independent,sector 24,3.5,32407,1080,Plot area 120(100.34 sq.m.),5,4,3,3,North-West,Old Property,,1080,,0,0,0,0,0,0,15,216
house,independent,sector 6,1.25,11574,1080,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,1,2,South,New Property,,120,,0,0,0,1,0,0,0,216
flat,central park flower valley,sector 33,1.4,21538,650,Super Built up area 650(60.39 sq.m.),3,3,3,2,,Under Construction,650,,,0,0,0,0,0,0,54,216.6666667
house,independent,sector 25,7.6,38756,1961,Plot area 215(179.77 sq.m.),9,9,3,4,East,Relatively New,,1935,,1,0,1,1,0,1,84,217.8888889
house,independent,sector 3 phase 2,1.1,10000,1100,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1,East,Undefined,,1100,900,0,0,0,0,0,0,0,220
house,independent,sector 12,1.35,12217,1105,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3,,Old Property,,2052,,0,0,0,0,0,0,31,221
house,independent,sector 4,0.47,10609,443,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,1,2,East,New Property,,50,48,1,0,0,0,0,1,73,221.5
house,independent,manesar,1.1,6173,1782,Plot area 1782(165.55 sq.m.),8,8,0,1,,New Property,,1782,,0,0,0,0,0,0,0,222.75
flat,prime habitat,sector 99a,0.27,6054,446,Carpet area: 448 (41.62 sq.m.),2,2,1,10,South,Relatively New,,,448,0,0,0,0,0,0,67,223
house,independent,sector 8,0.82,9111,900,Plot area 100(83.61 sq.m.),4,3,3,2,North,Moderately Old,,900,,0,0,0,0,0,0,12,225
flat,laxmi pareena,sector 99a,0.3,6667,450,Carpet area: 450 (41.81 sq.m.),2,1,0,12,North,Undefined,,,450,0,0,0,0,0,0,0,225
house,independent,sector 46,2.4,26667,900,Plot area 100(83.61 sq.m.),4,4,3,3,East,Moderately Old,,900,,0,0,1,0,0,1,44,225
house,independent,sector 8,0.32,7111,450,Built Up area: 450 (41.81 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,3,1,1,North-East,Relatively New,,450,300,0,0,0,0,0,0,0,225
house,naman residency,sector 4,0.5,11111,450,Plot area 450(41.81 sq.m.),2,2,2,2,West,New Property,,450,,1,1,0,1,1,0,14,225
house,independent,sector 105,0.35,7778,450,Carpet area: 500 (46.45 sq.m.),2,2,1,2,East,Undefined,,,500,0,0,0,0,0,0,0,225
house,housing board colony,sector 28,3.5,25926,1350,Plot area 150(125.42 sq.m.),6,6,3,3,,Relatively New,,1350,,0,0,0,0,0,0,0,225
house,independent,sector 11,3.5,15556,2250,Built Up area: 2250 (209.03 sq.m.),10,1,0,1,,New Property,,2250,,0,0,0,0,0,0,0,225
house,independent,sector 4,1.1,6111,1800,Plot area 200(167.23 sq.m.),8,4,3+,2,West,Old Property,,1800,,0,0,0,0,0,0,7,225
house,independent,sector 105,0.37,8222,450,Plot area 450(41.81 sq.m.),2,2,1,1,,Moderately Old,,450,,0,0,0,0,1,0,0,225
house,independent,sector 7,0.95,21111,450,Plot area 450(41.81 sq.m.),2,1,1,3,,New Property,,450,,0,0,0,0,0,0,15,225
house,"nirmal enclave, maruti kunj road",sector 11,0.24,5333,450,Plot area 450(41.81 sq.m.),2,2,0,2,North,Relatively New,,450,,0,0,0,0,0,0,0,225
house,shivpuri,sector 7,2.8,12444,2250,Plot area 2250(209.03 sq.m.),10,7,3,1,,Old Property,,2250,,1,1,0,1,1,1,0,225
house,independent,sector 26,6,33333,1800,Plot area 200(167.23 sq.m.),8,5,3+,3,,Old Property,,1800,,0,0,0,0,0,1,9,225
house,huda ashok vihar phase,sector 4,0.7,10234,684,Plot area 684(63.55 sq.m.),3,2,1,2,North-East,New Property,,684,,1,0,0,0,0,0,7,228
flat,ramsons kshitij,sector 95,0.4,5839,685,Carpet area: 685 (63.64 sq.m.),3,2,2,6,,Undefined,,,685,0,0,0,0,0,0,0,228.3333333
flat,mvn athens,sohna road,0.27,5895,458,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4,South-East,Relatively New,,,457.788667,0,0,0,0,1,1,35,229
flat,mvn athens,sohna road,0.27,5895,458,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0,,Relatively New,,,457.46575,0,0,0,0,0,1,69,229
house,independent,sector 46,2.25,24510,918,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4,3,3,3,North-East,Relatively New,,90,85,1,0,0,0,0,1,35,229.5
house,independent,sector 46,4.35,23693,1836,Plot area 204(170.57 sq.m.),8,8,2,3,North-East,Relatively New,,1836,,1,0,0,1,0,1,19,229.5
house,independent,sector 10a,3.6,19608,1836,Plot area 204(170.57 sq.m.),8,4,3,3,North,Moderately Old,,1836,,0,0,0,1,0,1,28,229.5
flat,signature global the millennia 3,sector 37d,0.5,7143,700,Carpet area: 700 (65.03 sq.m.),3,3,2,2,,Undefined,,,700,0,0,0,0,0,0,31,233.3333333
flat,gls arawali homes,sohna road,0.28,5983,468,Carpet area: 468 (43.48 sq.m.),2,2,2,3,,Relatively New,,,468,0,0,0,0,0,0,42,234
flat,supertech basera,sector 79,0.36,7643,471,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4,,New Property,,546,471,0,0,0,0,0,0,60,235.5
flat,pivotal devaan,sector 84,0.36,7595,474,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,9,West,Relatively New,583,,481,0,0,1,0,0,2,80,237
flat,gls arawali homes,sohna road,0.32,6723,476,Built Up area: 476 (44.22 sq.m.),2,1,0,0,,Undefined,,476,,0,0,0,0,0,0,0,238
house,iffco nagar and 17b rwa,sector 17,3.5,24306,1440,Plot area 1440(133.78 sq.m.),6,5,3,3,East,Old Property,,1440,,0,0,0,0,0,0,44,240
house,unitech south city,sector 50,5.88,27222,2160,Plot area 240(200.67 sq.m.),9,9,3+,3,East,Relatively New,,2160,,1,1,0,1,1,2,128,240
flat,signature global solera,sector 107,0.28,5833,480,Carpet area: 489 (45.43 sq.m.),2,2,2,11,South,Relatively New,,,489,0,0,0,0,0,0,45,240
flat,signature global solera,sector 107,0.28,5833,480,Carpet area: 489 (45.43 sq.m.),2,2,2,0,North-East,Relatively New,,,489,0,0,0,0,0,0,45,240
house,independent,sector 105,0.65,9028,720,Plot area 80(66.89 sq.m.),3,2,1,1,East,Relatively New,,720,,0,0,0,1,1,0,14,240
flat,mvn athens,sohna road,0.25,5198,481,Built Up area: 481 (44.69 sq.m.),2,2,0,0,,Relatively New,,481,,0,0,0,0,0,0,37,240.5
